GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Average trip speed(whilst moving only)(km/h),Engine Coolant Temperature(å¡C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel used (trip)(gal),Fuel Level (From Engine ECU)(%),Fuel Rate (direct from ECU)(L/m),Hybrid Battery Charge (%)(%),Intake Manifold Pressure(psi),Speed (OBD)(km/h),Speed (GPS)(km/h),Trip time(whilst moving)(s)
-,16:13.0,-,-,-,-,-,-,-0.38307226,-8.07324791,4.97036266,-0.01378912,-0.03304679,-0.0370967,-0.82296103,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00011427,-,-,-,14.50377369,32,-,0
-,16:13.5,-,-,-,-,-,-,-0.37349546,-8.06367111,4.97036266,-0.01465857,-0.03380109,-0.03904916,-0.82198477,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00011634,-,-,-,14.50377369,32,-,0
-,16:14.0,-,-,-,-,-,-,-0.37349546,-8.06367111,4.96078587,-0.01517004,-0.03351933,-0.03807293,-0.82296103,0.40471038,-,13.83463383,-,81,0,0,0,-,0.00011842,-,-,-,14.50377369,32,-,0
-,16:14.5,-,-,-,-,-,-,-0.39264908,-8.06367111,4.96078587,-0.01509112,-0.03376111,-0.04002539,-0.82198477,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00011842,-,-,-,14.50377369,32,-,0
-,16:15.1,-,-,-,-,-,-,-0.36391866,-8.07324791,4.97993946,-0.01335418,-0.0351434,-0.03904916,-0.82100856,0.40471038,-,13.83463383,-,81,0,0,0,-,0.00012066,-,-,-,14.50377369,31,-,0
-,16:15.5,-,-,-,-,-,-,-0.37349546,-8.06367111,4.96078587,-0.01517004,-0.03435102,-0.03807293,-0.82198477,0.40471038,-,13.83463383,-,81,0,0,0,-,0.00012276,-,-,-,14.50377369,31,-,0
-,16:16.0,-,-,-,-,-,-,-0.37349546,-8.05409431,4.97993946,-0.0149762,-0.03553984,-0.0370967,-0.82003236,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00012485,-,-,-,14.50377369,30,-,0
-,16:16.8,-,-,-,-,-,-,-0.36391866,-8.06367111,4.97036266,-0.01469654,-0.0351434,-0.03904916,-0.82100856,0.40471038,-,13.83463383,-,81,0,0,0,-,0.00012485,-,-,-,14.50377369,29,-,0
-,16:17.1,-,-,-,-,-,-,-0.37349546,-8.06367111,4.97036266,-0.01465857,-0.03225219,-0.03612047,-0.82393724,0.40568662,-,13.83463383,-,81,0,0,0,-,0.00012485,-,-,-,14.50377369,28,-,0
-,16:17.6,-,-,-,-,-,-,-0.36391866,-8.05409431,4.96078587,-0.01603878,-0.03387808,-0.0370967,-0.82198477,0.40666285,-,13.83463383,-,81,0,0,0,-,0.00012806,-,-,-,14.50377369,28,-,0
